Country,Country_Subdivision_Primary,State,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US,AK,AK-AT LARGE,199900,178500,14125000,349100,1324800,4563000,1332500,58590000,765200,845625,1881750,155850
US,US,AL,AL-1,275600,248200,19609000,485450,1845200,6305000,1854000,82252500,1062600,1180425,2618250,213350
US,US,AL,AL-2,247500,221550,17522250,433300,1646100,5640000,1654500,73305000,950000,1051200,2331750,190900
US,US,AL,AL-3,255000,229700,18141500,449275,1707900,5834000,1716000,76155000,983300,1092825,2423250,197300
US,US,AL,AL-4,294800,266200,20982250,520625,1980200,6741000,1988500,88627500,1138400,1268100,2809500,227550
US,US,AL,AL-5,286800,258250,20400500,505050,1919700,6562000,1929000,85545000,1105500,1228125,2724000,222000
US,US,AL,AL-6,400700,360950,28501750,705950,2683300,9172000,2696000,119587500,1545300,1716975,3809250,310350
US,US,AL,AL-7,242100,218250,17234000,426825,1622500,5543000,1630000,72322500,934700,1038000,2301000,187400
US,US,AR,AR-1,220900,198950,15723250,389075,1479200,5051000,1486000,65947500,851400,945900,2097750,170850
US,US,AR,AR-2,397200,355900,28282750,696050,2645400,9056000,2657500,117540000,1524800,1687275,3744000,307100
US,US,AR,AR-3,346400,312300,24651250,610775,2322100,7924000,2332500,103612500,1336400,1485900,3294750,267950
US,US,AR,AR-4,208900,188150,14861500,368000,1399000,4777000,1405500,62385000,805300,894825,1984500,161600
US,US,AZ,AZ-1,919100,811500,66072500,1587175,6029000,20797000,6056500,265185000,3484600,3816825,8492250,709750
US,US,AZ,AZ-2,746100,656600,53779000,1284250,4877800,16840000,4900500,214237500,2820200,3083475,6862500,575500
US,US,AZ,AZ-3,572900,505450,41218750,988600,3755400,12952000,3772500,165142500,2170200,2376600,5286750,442050
US,US,AZ,AZ-4,807100,713850,58020250,1396175,5303900,18283000,5328500,233460000,3064700,3360675,7474500,623500
US,US,AZ,AZ-5,578000,510500,41583250,998475,3793000,13079000,3810000,166837500,2191900,2401200,5340750,446250
US,US,AZ,AZ-6,933700,825250,67110500,1614025,6131200,21138000,6159500,269767500,3542900,3883500,8637750,721100
US,US,AZ,AZ-7,1451200,1278350,104617000,2500225,9496800,32775000,9540500,417375000,5489000,6005625,13356750,1118300
US,US,AZ,AZ-8,697700,616450,50199250,1205675,4580200,15793000,4601000,201465000,2646900,2900175,6450000,538650
US,US,AZ,AZ-9,664300,586700,47788000,1147500,4359000,15032000,4379000,191722500,2519300,2759775,6138750,512950
US,US,CA,CA-1,260200,233200,18480000,456125,1732700,5944000,1741500,76807500,999100,1107375,2459250,201800
US,US,CA,CA-10,766200,672950,55281000,1316150,4999100,17251000,5022000,219450000,2890400,3158025,7026000,589800
US,US,CA,CA-11,401800,360950,28534750,705950,2682400,9180000,2695500,119332500,1545400,1715100,3806250,311300
US,US,CA,CA-12,1040500,938600,74059500,1835725,6979100,23813000,7011000,311595000,4015800,4469700,9903000,804300
US,US,CA,CA-13,553300,497250,39330250,972500,3695300,12651000,3713500,164355000,2129000,2363550,5246250,428800
US,US,CA,CA-14,373300,335800,26539500,656725,2495500,8540000,2507500,111037500,1437700,1596375,3543000,289450
US,US,CA,CA-15,321000,288550,22830000,564325,2144500,7339000,2155000,95415000,1235400,1371525,3042750,248650
US,US,CA,CA-16,260700,233750,18575250,457200,1737500,5951000,1746000,77227500,1001000,1110300,2462250,201550
US,US,CA,CA-17,694800,625450,49448250,1223250,4649600,15893000,4671500,207225000,2677000,2975850,6596250,537300
US,US,CA,CA-18,421800,378800,29968750,740875,2814700,9645000,2829000,125085000,1622500,1799550,3997500,327400
US,US,CA,CA-19,324000,291300,23047000,569725,2165200,7408000,2175500,96367500,1247100,1385025,3072000,250900
US,US,CA,CA-2,359600,323150,25547250,632000,2401100,8224000,2413000,106740000,1383900,1535400,3410250,279150
US,US,CA,CA-20,360200,324100,25611750,633925,2409100,8237000,2421000,107280000,1387500,1541100,3420750,279150
US,US,CA,CA-21,329900,294200,23639500,575375,2186400,7514000,2196500,96727500,1261600,1391625,3087000,254900
US,US,CA,CA-22,397000,353450,28380000,691275,2626300,9024000,2639000,116197500,1515000,1671750,3714750,306800
US,US,CA,CA-23,230100,205750,16412250,402400,1528800,5248000,1536500,67725000,881800,975150,2164500,178200
US,US,CA,CA-24,330800,297050,23525000,580975,2207400,7564000,2218500,98062500,1272300,1411125,3132750,256550
US,US,CA,CA-25,676200,594900,48843750,1163500,4419100,15261000,4439500,194017500,2555300,2793375,6213000,521200
US,US,CA,CA-26,365900,327150,26122500,639850,2431100,8340000,2443000,107782500,1401900,1550250,3442500,283250
US,US,CA,CA-27,342000,307300,24326250,601025,2283800,7821000,2295000,101542500,1316100,1460475,3240750,265000
US,US,CA,CA-28,494600,443650,35192250,867650,3296600,11300000,3313000,146370000,1900300,2106450,4677750,383400
US,US,CA,CA-29,490400,441100,34924500,862675,3279100,11204000,3294500,146130000,1887500,2097300,4649250,379100
US,US,CA,CA-3,253200,227300,17997750,444550,1689000,5787000,1697500,75015000,973300,1079775,2397000,196300
US,US,CA,CA-30,437900,391200,31250750,765075,2906600,9980000,2921000,128767500,1676700,1852875,4116750,339100
US,US,CA,CA-31,414700,369500,29770250,722650,2745300,9436000,2758500,121477500,1583500,1747875,3876750,320250
